title,link,snip,sjr,impact factor,5 year impact factor
Acta Pharmaceutica Sinica B,http://www.journals.elsevier.com/acta-pharmaceutica-sinica-b/,0.0,0.0,0.0,0.0
Acta Physico-Chimica Sinica,/journals/acta-physico-chimica-sinica/1872-1508,0.0,0.0,0.0,0.0
Acta Poetica,http://www.journals.elsevier.com/acta-poetica/,0.0,0.0,0.0,0.0
Acta Psychologica,http://www.journals.elsevier.com/acta-psychologica/,1.088,1.177,2.248,2.676
Actas Dermo-Sifiliográficas,http://www.journals.elsevier.com/actas-dermo-sifiliograficas/,0.0,0.0,0.0,0.0
Actas Dermo-Sifiliográficas (English Edition),http://www.journals.elsevier.com/actas-dermo-sifiliograficas-english-edition/,0.0,0.0,0.0,0.0
Acta Sociológica,http://www.journals.elsevier.com/acta-sociologica/,0.0,0.0,0.0,0.0
Actas Urológicas Españolas,http://www.journals.elsevier.com/actas-urologicas-espanolas/,0.612,0.341,1.022,0.812
Actas Urológicas Españolas (English Edition),http://www.journals.elsevier.com/actas-urologicas-espanolas-english-edition/,0.0,0.0,0.0,0.0
Acta Tropica,http://www.journals.elsevier.com/acta-tropica/,1.027,0.902,2.270,2.708
Acta Urológica Portuguesa,http://www.journals.elsevier.com/acta-urologica-portuguesa/,0.0,0.0,0.0,0.0
Actividad Dietética,/journals/actividad-dietetica/1138-0322,0.0,0.0,0.0,0.0
Actualités Pharmaceutiques,http://www.journals.elsevier.com/actualites-pharmaceutiques/,0.0,0.0,0.0,0.0
Actualités Pharmaceutiques Hospitalières,/journals/actualites-pharmaceutiques-hospitalieres/1769-7344,0.0,0.0,0.0,0.0
Acupuncture and Related Therapies,http://www.journals.elsevier.com/acupuncture-and-related-therapies/,0.0,0.0,0.0,0.0
Acute Pain,/journals/acute-pain/1366-0071,0.0,0.0,0.0,0.0
Addictive Behaviors,http://www.journals.elsevier.com/addictive-behaviors/,1.358,1.398,2.764,3.017
Addictive Behaviors Reports,http://www.journals.elsevier.com/addictive-behaviors-reports/,0.0,0.0,0.0,0.0
Addictive Behaviors with Eating Behaviors (Combined Subscription),/journals/addictive-behaviors-with-eating-behaviors-combined-subscription/fs00-2274,0.0,0.0,0.0,0.0
Additive Manufacturing,http://www.journals.elsevier.com/additive-manufacturing/,0.0,0.0,0.0,0.0
Additives for Polymers,http://www.journals.elsevier.com/additives-for-polymers/,0.0,0.0,0.0,0.0
Ad Hoc Networks,http://www.journals.elsevier.com/ad-hoc-networks/,2.088,1.197,1.530,2.109
Advanced Drug Delivery Reviews,http://www.journals.elsevier.com/advanced-drug-delivery-reviews/,4.151,4.322,15.038,15.889
Advanced Engineering Informatics,http://www.journals.elsevier.com/advanced-engineering-informatics/,2.431,1.218,1.627,2.100
Advanced Engineering Informatics with Engineering Applications of Artificial Intelligence (Combined Subscription),/journals/advanced-engineering-informatics-with-engineering-applications-of-artificial-intelligence-combined-subscription/fs00-1026,0.0,0.0,0.0,0.0
Advanced Powder Technology,http://www.journals.elsevier.com/advanced-powder-technology/,1.653,0.740,2.638,2.387
Advances in Accounting,http://www.journals.elsevier.com/advances-in-accounting/,0.0,0.0,0.0,0.0
Advances in Anesthesia,/journals/advances-in-anesthesia/0737-6146,0.0,0.0,0.0,0.0
Advances in Applied Mathematics,http://www.journals.elsevier.com/advances-in-applied-mathematics/,1.117,1.392,0.820,0.768
Advances in Biological Regulation,http://www.journals.elsevier.com/advances-in-biological-regulation/,0.0,0.0,0.0,0.0
Advances in Chronic Kidney Disease,http://www.journals.elsevier.com/advances-in-chronic-kidney-disease/,1.070,0.849,2.052,2.399
Advances in Colloid and Interface Science,http://www.journals.elsevier.com/advances-in-colloid-and-interface-science/,3.914,2.534,7.776,10.421
Advances in Colloid and Interface Science with Current Opinion in Colloid & Interface Science (Combined Subscription),/journals/advances-in-colloid-and-interface-science-with-current-opinion-in-colloid-and-interface-science-combined-subscription/fs00-5465,0.0,0.0,0.0,0.0
Advances in Digestive Medicine,http://www.journals.elsevier.com/advances-in-digestive-medicine/,0.0,0.0,0.0,0.0
Advances in Engineering Software,http://www.journals.elsevier.com/advances-in-engineering-software/,1.809,0.838,1.402,1.584
Advances in Enzyme Regulation,http://www.journals.elsevier.com/advances-in-enzyme-regulation/,0.0,0.0,0.0,0.0
Advances in Heart and Lung Transplantation,/journals/advances-in-heart-and-lung-transplantation/1930-2134,0.0,0.0,0.0,0.0
Advances in Integrative Medicine,http://www.journals.elsevier.com/advances-in-integrative-medicine/,0.0,0.0,0.0,0.0
Advances in Life Course Research,http://www.journals.elsevier.com/advances-in-life-course-research/,0.0,0.0,0.0,0.0
Advances in Mathematics,http://www.journals.elsevier.com/advances-in-mathematics/,1.832,3.167,1.294,1.564
Advances in Medical Sciences,http://www.journals.elsevier.com/advances-in-medical-sciences/,0.624,0.431,1.105,1.249
Advances in Pediatrics,/journals/advances-in-pediatrics/0065-3101,0.0,0.0,0.0,0.0
Advances in Small Animal Medicine and Surgery,http://www.journals.elsevier.com/advances-in-small-animal-medicine-and-surgery/,0.0,0.0,0.0,0.0
Advances in Space Research,http://www.journals.elsevier.com/advances-in-space-research/,1.237,0.727,1.358,1.332
Advances in Surgery®,/journals/advances-in-surgery/0065-3411,0.0,0.0,0.0,0.0
Advances in Vascular Surgery®,/journals/advances-in-vascular-surgery/1069-7292,0.0,0.0,0.0,0.0
Advances in Water Resources,http://www.journals.elsevier.com/advances-in-water-resources/,1.794,1.755,3.417,3.593
Adverse Reactions Titles (Section 38 EMBASE),/journals/adverse-reactions-titles-section-38-embase/0001-8848,0.0,0.0,0.0,0.0
Aeolian Research,http://www.journals.elsevier.com/aeolian-research/,1.152,1.009,2.309,2.934
Aerospace Science and Technology,http://www.journals.elsevier.com/aerospace-science-and-technology/,1.734,0.678,0.940,1.130
Aesthetische Zahnmedizin,/journals/aesthetische-zahnmedizin/1434-6087,0.0,0.0,0.0,0.0
AEÜ - International Journal of Electronics and Communications,http://www.journals.elsevier.com/aeu-international-journal-of-electronics-and-communications/,1.128,0.418,0.601,0.642
African Journal of Emergency Medicine,http://www.journals.elsevier.com/african-journal-of-emergency-medicine/,0.0,0.0,0.0,0.0
African Journal of Urology,http://www.journals.elsevier.com/african-journal-of-urology/,0.0,0.0,0.0,0.0
Ageing Research Reviews,http://www.journals.elsevier.com/ageing-research-reviews/,2.058,2.607,4.940,6.355
Aggression and Violent Behavior,http://www.journals.elsevier.com/aggression-and-violent-behavior/,1.634,1.344,1.926,2.668
Agricultural and Forest Meteorology,http://www.journals.elsevier.com/agricultural-and-forest-meteorology/,1.801,1.828,3.762,4.318
Agricultural Sciences in China,/journals/agricultural-sciences-in-china/1671-2927,0.0,0.0,0.0,0.0
Agricultural Systems,http://www.journals.elsevier.com/agricultural-systems/,1.646,1.205,2.906,3.425
Agricultural Water Management,http://www.journals.elsevier.com/agricultural-water-management/,1.775,1.258,2.286,3.017
Agriculture and Agricultural Science Procedia,http://www.journals.elsevier.com/agriculture-and-agricultural-science-procedia/,0.0,0.0,0.0,0.0
"Agriculture, Ecosystems & Environment",http://www.journals.elsevier.com/agriculture-ecosystems-and-environment/,1.735,1.476,3.402,3.987
"Agriculture, Ecosystems & Environment with Applied Soil Ecology (Combined Subscription)",/journals/agriculture-ecosystems-and-environment-with-applied-soil-ecology-combined-subscription/fs00-0501,0.0,0.0,0.0,0.0
Agri Gene,/journals/agri-gene/2352-2151,0.0,0.0,0.0,0.0
Ain Shams Engineering Journal,http://www.journals.elsevier.com/ain-shams-engineering-journal/,0.0,0.0,0.0,0.0
Air Medical Journal,http://www.journals.elsevier.com/air-medical-journal/,0.0,0.0,0.0,0.0
AJIC - American Journal of Infection Control,http://www.journals.elsevier.com/ajic-american-journal-of-infection-control/,1.191,0.984,2.206,2.495
AKCE International Journal of Graphs and Combinatorics,http://www.journals.elsevier.com/akce-international-journal-of-graphs-and-combinatorics/,0.0,0.0,0.0,0.0
Alcohol,http://www.journals.elsevier.com/alcohol/,0.765,0.739,2.006,2.318
Alcoholism and Drug Addiction,http://www.journals.elsevier.com/alcoholism-and-drug-addiction/,0.0,0.0,0.0,0.0
Alergologia Polska - Polish Journal of Allergology,http://www.journals.elsevier.com/alergologia-polska-polish-journal-of-allergology/,0.0,0.0,0.0,0.0
Alexandria Engineering Journal,http://www.journals.elsevier.com/alexandria-engineering-journal/,0.0,0.0,0.0,0.0
Alexandria Journal of Medicine,http://www.journals.elsevier.com/alexandria-journal-of-medicine/,0.0,0.0,0.0,0.0
Algal Research,http://www.journals.elsevier.com/algal-research/,1.422,1.784,5.014,5.027
All Clinics Online,http://www.journals.elsevier.com/all-clinics-online/,0.0,0.0,0.0,0.0
Allergologia et Immunopathologia,http://www.journals.elsevier.com/allergologia-et-immunopathologia/,0.591,0.380,1.740,1.455
Allergology International,http://www.journals.elsevier.com/allergology-international/,0.0,0.0,0.0,0.0
Alpha Omegan,/journals/alpha-omegan/0002-6417,0.0,0.0,0.0,0.0
"ALTER. European Journal of Disability research, Journal européen de recherche sur le handicap",http://www.journals.elsevier.com/alter-european-journal-of-disability-research-journal-europeen-de-recherche-sur-le-handicap/,0.0,0.0,0.0,0.0
Alzheimer's & Dementia,http://www.journals.elsevier.com/alzheimers-and-dementia/,4.015,5.129,12.407,13.324
"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",http://www.journals.elsevier.com/alzheimers-and-dementia-diagnosis-assessment-and-disease-monitoring/,0.0,0.0,0.0,0.0
Alzheimer's & Dementia: Translational Research & Clinical Interventions,http://www.journals.elsevier.com/alzheimers-and-dementia-translational-research-and-clinical-interventions/,0.0,0.0,0.0,0.0
Ambulatory Pediatrics,/journals/ambulatory-pediatrics/1530-1567,0.0,0.0,0.0,0.0
Ambulatory Surgery,/journals/ambulatory-surgery/0966-6532,0.0,0.0,0.0,0.0
American Heart Journal,http://www.journals.elsevier.com/american-heart-journal/,1.531,2.756,4.463,4.395
American Journal of Emergency Medicine,http://www.journals.elsevier.com/american-journal-of-emergency-medicine/,0.875,0.586,1.274,1.452
American Journal of Kidney Diseases,http://www.journals.elsevier.com/american-journal-of-kidney-diseases/,1.660,1.651,5.900,5.555
American Journal of Obstetrics & Gynecology,http://www.journals.elsevier.com/american-journal-of-obstetrics-and-gynecology/,1.796,1.874,4.704,4.142
American Journal of Ophthalmology,http://www.journals.elsevier.com/american-journal-of-ophthalmology/,2.067,2.167,3.871,4.225
American Journal of Orthodontics and Dentofacial Orthopedics,http://www.journals.elsevier.com/american-journal-of-orthodontics-and-dentofacial-orthopedics/,1.458,1.046,1.382,1.981
American Journal of Otolaryngology,http://www.journals.elsevier.com/american-journal-of-otolaryngology/,0.859,0.489,0.984,1.113
American Journal of Preventive Medicine,http://www.journals.elsevier.com/american-journal-of-preventive-medicine/,2.046,2.550,4.527,5.395
Ampersand,http://www.journals.elsevier.com/ampersand/,0.0,0.0,0.0,0.0
Anaerobe,http://www.journals.elsevier.com/anaerobe/,1.071,0.889,2.479,2.628
Anaesthesia and Intensive Care Medicine,/journals/anaesthesia-and-intensive-care-medicine/1472-0299,0.0,0.0,0.0,0.0
Anaesthesia Critical Care & Pain Medicine,http://www.journals.elsevier.com/anaesthesia-critical-care-and-pain-medicine/,0.0,0.0,0.0,0.0
Anales de Antropología,http://www.journals.elsevier.com/anales-de-antropologia/,0.0,0.0,0.0,0.0
Anales de Cirugía Vascular,/journals/anales-de-cirugia-vascular/1130-2542,0.0,0.0,0.0,0.0
Anales de Pediatría,http://www.journals.elsevier.com/anales-de-pediatria/,0.348,0.211,0.833,0.755
Anales de Pediatría Continuada,http://www.journals.elsevier.com/anales-de-pediatria-continuada/,0.0,0.0,0.0,0.0
Anales de Pediatría (English Edition),http://www.journals.elsevier.com/anales-de-pediatria-english-edition/,0.0,0.0,0.0,0.0
Analytica Chimica Acta,http://www.journals.elsevier.com/analytica-chimica-acta/,1.455,1.426,4.513,4.667
Analytica Chimica Acta with Vibrational Spectroscopy (Combined Subscription),/journals/analytica-chimica-acta-with-vibrational-spectroscopy-combined-subscription/fs00-0339,0.0,0.0,0.0,0.0
Analytical Biochemistry: Methods in the Biological Sciences,http://www.journals.elsevier.com/analytical-biochemistry-methods-in-the-biological-sciences/,0.806,0.726,2.219,2.564
Analytical Chemistry Research,http://www.journals.elsevier.com/analytical-chemistry-research/,0.0,0.0,0.0,0.0
Analytic Methods in Accident Research,http://www.journals.elsevier.com/analytic-methods-in-accident-research/,0.0,0.0,0.0,0.0
"Anatomy, Anthropology, Embryology and Histology (Section 1 EMBASE)",/journals/anatomy-anthropology-embryology-and-histology-section-1-embase/0014-4053,0.0,0.0,0.0,0.0
Anesthésie & Réanimation,http://www.journals.elsevier.com/anesthesie-and-reanimation/,0.0,0.0,0.0,0.0
Anesthesiology Clinics,/journals/anesthesiology-clinics/1932-2275,0.0,0.0,0.0,0.0
Anesthesiology Clinics of North America,/journals/anesthesiology-clinics-of-north-america/0889-8537,0.0,0.0,0.0,0.0
Anesthesiology (Section 24 EMBASE),/journals/anesthesiology-section-24-embase/0014-4282,0.0,0.0,0.0,0.0
Angiología,http://www.journals.elsevier.com/angiologia/,0.0,0.0,0.0,0.0
Angiologia e Cirurgia Vascular,http://www.journals.elsevier.com/angiologia-e-cirurgia-vascular/,0.0,0.0,0.0,0.0
Animal Behaviour,http://www.journals.elsevier.com/animal-behaviour/,1.146,1.547,3.137,3.423
Animal Feed Science and Technology,http://www.journals.elsevier.com/animal-feed-science-and-technology/,1.586,1.112,1.997,2.109
Animal Gene,http://www.journals.elsevier.com/animal-gene/,0.0,0.0,0.0,0.0
Animal Reproduction Science,http://www.journals.elsevier.com/animal-reproduction-science/,1.193,0.731,1.511,1.863
Annales de Cardiologie et d'Angéiologie,http://www.journals.elsevier.com/annales-de-cardiologie-et-dangeiologie/,0.0,0.0,0.0,0.0
Annales de Chirurgie,/journals/annales-de-chirurgie/0003-3944,0.0,0.0,0.0,0.0
Annales de Chirurgie Plastique Esthétique,http://www.journals.elsevier.com/annales-de-chirurgie-plastique-esthetique/,0.521,0.254,0.306,0.377
Annales de chirurgie vasculaire,/journals/annales-de-chirurgie-vasculaire/0299-2213,0.0,0.0,0.0,0.0
Annales de Dermatologie et de Vénéréologie,http://www.journals.elsevier.com/annales-de-dermatologie-et-de-venereologie/,0.318,0.215,0.919,0.733
Annales de l'Institut Henri Poincaré (B) Probabilités et Statistiques,/journals/annales-de-linstitut-henri-poincare-b-probabilites-et-statistiques/0246-0203,0.0,0.0,0.0,0.0
Annales de l'Institut Henri Poincaré (C) Analyse Non Linéaire,http://www.journals.elsevier.com/annales-de-linstitut-henri-poincare-c-analyse-non-lineaire/,1.465,2.701,1.341,1.809
Annales d'Endocrinologie,http://www.journals.elsevier.com/annales-dendocrinologie/,0.336,0.328,0.871,0.795
Annales de Paléontologie,http://www.journals.elsevier.com/annales-de-paleontologie/,0.648,0.408,0.970,0.853
Annales de Pathologie,http://www.journals.elsevier.com/annales-de-pathologie/,0.0,0.0,0.0,0.0
Annales de Réadaptation et de Médecine Physique,/journals/annales-de-readaptation-et-de-medecine-physique/0168-6054,0.0,0.0,0.0,0.0
Annales d'Urologie,/journals/annales-durologie/0003-4401,0.0,0.0,0.0,0.0
Annales Françaises d'Anesthésie et de Réanimation,http://www.journals.elsevier.com/annales-francaises-danesthesie-et-de-reanimation/,0.0,0.0,0.0,0.0
Annales françaises d'oto-rhino-laryngologie et de pathologie cervico-faciale,http://www.journals.elsevier.com/annales-francaises-doto-rhino-laryngologie-et-de-pathologie-cervico-faciale/,0.0,0.0,0.0,0.0
"Annales Médico-psychologiques, revue psychiatrique",http://www.journals.elsevier.com/annales-medico-psychologiques-revue-psychiatrique/,0.524,0.208,0.221,0.286
Annales Pharmaceutiques Françaises,http://www.journals.elsevier.com/annales-pharmaceutiques-francaises/,0.0,0.0,0.0,0.0
Annales Scientifiques de l'École Normale Supérieure,/journals/annales-scientifiques-de-lecole-normale-superieure/0012-9593,0.0,0.0,0.0,0.0
Annals of Agricultural Sciences,http://www.journals.elsevier.com/annals-of-agricultural-sciences/,0.0,0.0,0.0,0.0
Annals of Anatomy,http://www.journals.elsevier.com/annals-of-anatomy/,0.815,0.599,1.483,1.934
Annals of Diagnostic Pathology,http://www.journals.elsevier.com/annals-of-diagnostic-pathology/,0.992,0.452,1.117,1.083
Annals of Emergency Medicine,http://www.journals.elsevier.com/annals-of-emergency-medicine/,1.740,1.470,4.676,4.413
Annals of Epidemiology,http://www.journals.elsevier.com/annals-of-epidemiology/,0.981,1.095,2.000,2.789
Annals of Global Health,http://www.journals.elsevier.com/annals-of-global-health/,0.0,0.0,0.0,0.0
Annals of Medicine and Surgery,http://www.journals.elsevier.com/annals-of-medicine-and-surgery/,0.0,0.0,0.0,0.0
Annals of Nuclear Energy,http://www.journals.elsevier.com/annals-of-nuclear-energy/,1.403,0.986,0.960,0.985
Annals of Physical and Rehabilitation Medicine,http://www.journals.elsevier.com/annals-of-physical-and-rehabilitation-medicine/,0.0,0.0,0.0,0.0
Annals of Physics,http://www.journals.elsevier.com/annals-of-physics/,1.269,1.622,2.103,2.433
Annals of Pure and Applied Logic,http://www.journals.elsevier.com/annals-of-pure-and-applied-logic/,1.131,1.005,0.548,0.620
Annals of the ICRP,/journals/annals-of-the-icrp/0146-6453,0.0,0.0,0.0,0.0
Annals of Tourism Research,http://www.journals.elsevier.com/annals-of-tourism-research/,2.324,2.262,2.685,3.467
Annals of Vascular Surgery,http://www.journals.elsevier.com/annals-of-vascular-surgery/,0.841,0.576,1.170,1.095
Annual Reviews in Control,http://www.journals.elsevier.com/annual-reviews-in-control/,3.160,1.901,2.518,3.089
Anthropocene,http://www.journals.elsevier.com/anthropocene/,0.0,0.0,0.0,0.0
Antibiotiques,/journals/antibiotiques/1294-5501,0.0,0.0,0.0,0.0
Antiviral Research,http://www.journals.elsevier.com/antiviral-research/,1.099,1.399,3.938,3.788
Anuario de Letras,http://www.journals.elsevier.com/anuario-de-letras/,0.0,0.0,0.0,0.0
Anuario de Psicología Jurídica,http://www.journals.elsevier.com/anuario-de-psicologia-juridica/,0.0,0.0,0.0,0.0
Anuario Mexicano de Derecho Internacional,http://www.journals.elsevier.com/anuario-mexicano-de-derecho-internacional/,0.0,0.0,0.0,0.0
Anuario Mexicano de Derecho Internacional,http://www.journals.elsevier.com/anuario-mexicano-de-derecho-internacional/,0.0,0.0,0.0,0.0
AORN Journal,http://www.journals.elsevier.com/aorn-journal/,0.0,0.0,0.0,0.0
Apollo Medicine,http://www.journals.elsevier.com/apollo-medicine/,0.0,0.0,0.0,0.0
Appetite,http://www.journals.elsevier.com/appetite/,1.260,1.218,2.691,3.323
Applied Acoustics,http://www.journals.elsevier.com/applied-acoustics/,1.710,0.596,1.024,1.269
Applied and Computational Harmonic Analysis,http://www.journals.elsevier.com/applied-and-computational-harmonic-analysis/,2.833,2.671,2.036,3.220
Applied & Preventive Psychology,http://www.journals.elsevier.com/applied-and-preventive-psychology/,0.0,0.0,0.0,0.0
Applied & Translational Genomics,http://www.journals.elsevier.com/applied-and-translational-genomics/,0.0,0.0,0.0,0.0
Applied Animal Behaviour Science,http://www.journals.elsevier.com/applied-animal-behaviour-science/,1.256,0.963,1.691,2.225
Applied Catalysis A+B (Combined Subscription),/journals/applied-catalysis-ab-combined-subscription/fs00-0332,0.0,0.0,0.0,0.0
Applied Catalysis A: General,http://www.journals.elsevier.com/applied-catalysis-a-general/,1.559,1.213,3.942,4.402
Applied Catalysis B: Environmental,http://www.journals.elsevier.com/applied-catalysis-b-environmental/,2.120,2.088,7.435,7.490
Applied Clay Science,http://www.journals.elsevier.com/applied-clay-science/,1.746,0.863,2.467,3.246
Applied Computing and Informatics,http://www.journals.elsevier.com/applied-computing-and-informatics/,0.0,0.0,0.0,0.0
Applied Energy,http://www.journals.elsevier.com/applied-energy/,3.146,3.149,5.613,6.330
Applied Ergonomics,http://www.journals.elsevier.com/applied-ergonomics/,2.157,0.974,2.023,2.143
Applied Geochemistry,http://www.journals.elsevier.com/applied-geochemistry/,1.213,0.888,2.268,2.400
Applied Geography,http://www.journals.elsevier.com/applied-geography/,1.807,1.085,2.494,2.853
Applied Materials Today,http://www.journals.elsevier.com/applied-materials-today/,0.0,0.0,0.0,0.0
Applied Mathematical Modelling,http://www.journals.elsevier.com/applied-mathematical-modelling/,1.816,1.283,2.251,2.326
Applied Mathematical Modelling with Simulation Modelling Practice and Theory (Combined Subscription),/journals/applied-mathematical-modelling-with-simulation-modelling-practice-and-theory-combined-subscription/fs00-7004,0.0,0.0,0.0,0.0
Applied Mathematics and Computation,http://www.journals.elsevier.com/applied-mathematics-and-computation/,1.378,0.958,1.551,1.686
Applied Mathematics Letters,http://www.journals.elsevier.com/applied-mathematics-letters/,1.431,1.033,1.337,1.469
Applied Numerical Mathematics,http://www.journals.elsevier.com/applied-numerical-mathematics/,1.318,1.268,1.221,1.369
Applied Nursing Research,http://www.journals.elsevier.com/applied-nursing-research/,0.698,0.449,0.733,1.144
Applied Ocean Research,http://www.journals.elsevier.com/applied-ocean-research/,2.459,1.544,1.287,1.532
Applied Radiation and Isotopes,http://www.journals.elsevier.com/applied-radiation-and-isotopes/,1.157,0.541,1.231,1.231
Applied Soft Computing,http://www.journals.elsevier.com/applied-soft-computing/,2.729,2.220,2.810,3.222
Applied Soil Ecology,http://www.journals.elsevier.com/applied-soil-ecology/,1.359,1.001,2.644,3.105
Applied Surface Science,http://www.journals.elsevier.com/applied-surface-science/,1.442,0.913,2.711,2.735
Applied Thermal Engineering,http://www.journals.elsevier.com/applied-thermal-engineering/,2.108,1.523,2.739,3.034
Apunts. Medicina de l'Esport,http://www.journals.elsevier.com/apunts-medicina-de-lesport/,0.0,0.0,0.0,0.0
Aquacultural Engineering,http://www.journals.elsevier.com/aquacultural-engineering/,1.348,0.677,1.181,1.502
Aquaculture,http://www.journals.elsevier.com/aquaculture/,1.254,0.897,1.878,2.341
Aquaculture Reports,http://www.journals.elsevier.com/aquaculture-reports/,0.0,0.0,0.0,0.0
Aquatic Botany,http://www.journals.elsevier.com/aquatic-botany/,0.927,0.578,1.608,1.819
Aquatic Procedia,http://www.journals.elsevier.com/aquatic-procedia/,0.0,0.0,0.0,0.0
Aquatic Toxicology,http://www.journals.elsevier.com/aquatic-toxicology/,1.275,1.377,3.451,4.113
Arab Economic and Business Journal,http://www.journals.elsevier.com/arab-economic-and-business-journal/,0.0,0.0,0.0,0.0
Arabian Journal of Chemistry,http://www.journals.elsevier.com/arabian-journal-of-chemistry/,1.489,0.523,3.725,3.390
Arab Journal of Gastroenterology,http://www.journals.elsevier.com/arab-journal-of-gastroenterology/,0.0,0.0,0.0,0.0
Arab Journal of Mathematical Sciences,http://www.journals.elsevier.com/arab-journal-of-mathematical-sciences/,0.0,0.0,0.0,0.0
Arab Journal of Urology,http://www.journals.elsevier.com/arab-journal-of-urology/,0.0,0.0,0.0,0.0
Archaeological Research in Asia,http://www.journals.elsevier.com/archaeological-research-in-asia/,0.0,0.0,0.0,0.0
"Archaeology, Ethnology and Anthropology of Eurasia",http://www.journals.elsevier.com/archaeology-ethnology-and-anthropology-of-eurasia/,0.0,0.0,0.0,0.0
Archives de Pédiatrie,http://www.journals.elsevier.com/archives-de-pediatrie/,0.243,0.173,0.407,0.336
Archives des Maladies du Cœur et des Vaisseaux - Pratique,http://www.journals.elsevier.com/archives-des-maladies-du-cur-et-des-vaisseaux-pratique/,0.0,0.0,0.0,0.0
Archives des Maladies Professionnelles et de L'Environnement,http://www.journals.elsevier.com/archives-des-maladies-professionnelles-et-de-lenvironnement/,0.0,0.0,0.0,0.0
Archives of Biochemistry and Biophysics,http://www.journals.elsevier.com/archives-of-biochemistry-and-biophysics/,0.875,1.188,3.017,2.980
Archives of Cardiovascular Diseases,http://www.journals.elsevier.com/archives-of-cardiovascular-diseases/,0.933,0.827,1.840,1.827
Archives of Cardiovascular Diseases Supplements,http://www.journals.elsevier.com/archives-of-cardiovascular-diseases-supplements/,0.0,0.0,0.0,0.0
Archives of Civil and Mechanical Engineering,http://www.journals.elsevier.com/archives-of-civil-and-mechanical-engineering/,1.655,0.837,1.793,1.486
Archives of Clinical Neuropsychology,/journals/archives-of-clinical-neuropsychology/0887-6177,0.0,0.0,0.0,0.0
Archives of Gerontology and Geriatrics,http://www.journals.elsevier.com/archives-of-gerontology-and-geriatrics/,1.022,0.714,1.853,1.858
Archives of Medical Research,http://www.journals.elsevier.com/archives-of-medical-research/,0.863,0.800,2.645,2.314
Archives of Oral Biology,http://www.journals.elsevier.com/archives-of-oral-biology/,0.959,0.613,1.735,1.890
Archives of Physical Medicine and Rehabilitation,http://www.journals.elsevier.com/archives-of-physical-medicine-and-rehabilitation/,1.462,1.150,2.565,2.967
Archives of Psychiatric Nursing,http://www.journals.elsevier.com/archives-of-psychiatric-nursing/,0.729,0.426,0.852,1.308
