src,dest,type
1276575,939796,0
1276575,942112,0
1276575,942909,0
1276575,943010,0
1276575,942852,0
1276575,943179,1
1276574,941058,0
1276574,941098,0
1276574,942236,0
1276574,942525,0
1276574,942581,0
1276574,942703,0
1276574,943008,0
1276574,943176,0
1276577,942674,0
1276577,942794,0
1276577,942601,0
1276577,942921,0
1276577,943030,0
1276577,943135,0
1276577,943084,0
1276577,943201,0
1276576,876989,0
1276576,877603,0
1276576,939808,0
1276576,939729,0
1276576,941137,0
1276576,942276,0
1276576,942504,0
1276576,942616,0
1276576,942644,0
1276576,942818,0
1276576,942749,0
1276576,942672,0
1276576,943038,0
1276576,1036812,0
1276576,1276481,0
1276576,1276444,0
1276576,1276538,0
1276576,1276530,0
1276576,1276477,0
1276576,1276561,0
1276576,2990275,1
1276573,942979,1
1276573,942982,1
1276572,942896,0
1276572,2990132,1
2918932,835487,0
2918931,745567,0
2918931,834848,0
1276579,940518,0
1276579,940652,0
1276579,940774,0
1276579,941239,0
1276579,942387,0
1276579,942600,0
2918934,834794,0
3156574,2989093,1
2972377,873403,0
2972377,942408,0
2972377,942941,0
2972377,2923920,0
3156576,942679,0
3156576,942791,0
3156576,2990216,0
3156576,2990308,0
3156576,2989401,0
3156576,2990101,0
3156576,2989445,0
3156576,2990077,0
3156576,2989669,0
3156576,2989632,0
3156576,2989554,1
3156576,2989985,0
3156576,2990415,0
3395298,1042558,0
3395299,1042704,0
3395299,1227027,0
3395299,2867373,0
3395299,2975477,0
3395293,746236,0
3395290,1042480,0
3395290,1042300,1
3395290,1280354,0
3395290,1280298,1
3395290,1343912,0
3395290,3395307,1
3395296,1026827,0
3395296,1042436,1
3395296,1042361,0
3395296,1280378,0
3395296,2926580,0
3395297,744749,0
3395294,1042404,0
3395294,1042542,0
3395294,1042873,0
3395294,1227038,0
3395294,2867406,1
3395295,917621,0
3395295,1274048,0
3395295,2923151,0
3352614,1287910,0
3352614,1346281,0
3352614,2986785,1
930910,932255,0
930911,1035274,0
2848470,759934,0
2848470,759924,0
2848471,759607,1
2848471,835401,0
2848472,759945,0
2848472,760239,1
2848472,1027136,0
2848473,2848464,0
2848473,2848471,0
2848473,2848463,1
2848473,2848457,0
2848473,2848462,0
2848473,2848474,1
1029773,1029559,0
1029775,1029559,0
1029775,1029697,0
1029775,1029773,1
759559,744662,0
759559,759685,1
759559,760084,0
759559,3348790,0
759552,1025973,1
759557,760067,0
3359698,793249,0
3359696,794136,0
3359696,2852002,1
3359694,793249,0
3359694,796152,0
3359694,796555,0
3359694,796577,0
3359694,2851705,0
3359694,2965406,1
3359694,3063270,0
3359691,803072,0
3359691,2852072,1
3359691,3149875,1
3359925,872844,0
3359925,873182,0
3647400,872112,0
3647400,2859538,0
3647400,2920919,0
3647400,3067934,0
3647400,3068425,0
3647400,3249342,0
3647400,3249465,0
3647400,2968224,0
3319519,1163994,1
3359926,1276528,0
3359926,2859188,0
3359926,2859227,1
3359926,2968301,0
3359926,3068121,0
3359926,3068200,0
3359926,3068424,1
3359926,3133823,0
3359926,3133847,0
3359926,3133947,0
3359926,3133855,0
3359926,3133951,0
3359926,3249216,0
3359926,3249186,0
3359926,3253099,0
3359926,3309850,0
3359926,3360126,0
3319515,1272752,0
3319517,2981184,0
3319517,3084787,0
3319516,873041,0
3319516,873397,0
3319516,1332357,0
2920743,1272707,1
3320143,2867478,0
2920742,2997752,0
2920742,2998286,0
2920741,918059,0
2920741,1027369,0
2920741,1271346,0
3359927,873021,0
3359927,1027164,0
2920746,1271979,0
2920746,1271956,0
2920746,2862463,1
2920745,873225,0
2920745,941020,0
2920745,2998131,0
2920744,930859,0
2920744,939788,0
2920744,940578,0
2920744,942952,1
3359920,872858,0
3359920,872817,0
3359920,942931,0
3359921,872415,0
3131275,3130910,0
3131272,3131535,1
3131272,3356463,0
3131272,3356481,1
2878913,2879847,0
2878913,3247227,0
2878913,3354942,0
2878917,3355334,1
2878917,3355336,0
2878917,3354554,0
2878918,2879711,1
2878918,3354211,0
3359923,872360,0
3359923,872745,0
3359923,872867,0
3359923,872520,0
3359923,873105,0
3359923,1271426,0
3359923,1272474,0
3621049,3104021,0
3621049,3104043,0
3320140,1042956,1
3320140,3077920,0
3621043,3103186,0
3621041,3103892,0
3621041,3103400,0
3621041,3103590,0
3621041,3103261,0
3621041,3103594,0
3621041,3103066,1
3621041,3103493,0
3621041,3155775,0
3621041,3474811,1
3360106,873334,0
3360106,1271558,0
3360106,1280276,0
3360107,873372,0
3360107,1271758,0
3360107,2968027,0
3360107,2968288,0
3360107,3067777,0
3360107,3360219,0
3360104,3131219,0
3360105,2859613,0
3360102,834889,0
3360102,835394,0
3360102,1272474,0
3360102,2920493,0
3360102,2920761,0
3360102,3130825,0
3360102,3249066,1
3360102,3360068,1
3360101,1181036,0
3360101,1271557,0
3360101,2859067,0
3360101,3247209,0
3360108,745527,0
3360108,932671,0
3360109,1271859,1
3360109,2859223,1
3360109,3068180,1
1057330,1057184,1
1057332,1056896,1
1057332,1057322,1
1057337,1056858,0
1057338,793653,0
1057338,1057246,0
799838,794551,0
799838,795319,0
799833,793218,1
799833,795135,0
799833,1036534,0
942911,940663,1
942913,744683,0
942913,744884,0
942913,744932,0
942913,745772,0
942913,940122,0
942913,941634,0
942913,942513,0
942912,941131,1
942915,939778,0
942915,941010,0
942915,942706,0
942914,940394,1
942914,940392,1
942914,941753,1
942917,940454,0
942917,940896,0
942917,941033,0
942917,941063,0
942917,942281,0
942917,942509,0
942917,942564,0
942917,942712,0
942917,1035238,0
942916,940355,0
942916,940351,0
942916,941230,0
942916,942607,0
942919,940326,0
942919,940327,0
942919,940793,0
942919,941067,0
942919,941319,0
942919,941419,0
942919,942005,0
942919,942042,0
942919,942622,0
942919,942772,0
942919,942741,0
942919,3316546,0
942918,873086,0
942918,940949,0
942918,941523,0
3320141,1042839,1
3070525,834963,0
3070525,835026,0
3070526,918270,1
3070526,1026244,0
801627,793718,0
3133824,873188,0
3133824,1026126,0
3133824,1271607,0
3133824,1271820,0
3133824,1272197,0
3133824,1272212,0
3133824,1272214,0
3133823,1271786,1
1150615,1150607,1
1150610,1150042,0
1150612,1150461,1
1034423,1034375,0
800579,793634,0
917420,916903,1
917427,1026244,0
918398,917672,0
918398,918050,0
918398,918210,0
918398,1026103,0
918398,1026520,0
918399,744494,0
918399,745263,0
918399,939689,0
1151567,1150175,0
1151567,1151039,1
918391,917655,0
918392,835577,0
918395,1026215,0
918395,1026244,0
918395,1026865,0
918396,1027492,0
917287,744475,0
917287,1026386,0
917287,1026825,0
917287,1027288,0
917282,1025955,0
917282,1025957,0
917281,1026846,0
3129951,1050198,0
3129951,1227245,0
3129952,1027239,0
2879660,3355091,1
2879665,3355825,1
2879669,3354264,0
2879669,3355186,0
2879668,3355107,0
2879668,3355787,1
2879668,3355870,0
2989849,2988874,1
2989849,2990650,0
2989849,2990595,0
2989849,2990560,0
2989849,2990594,0
2989849,2990623,0
2989849,2990618,0
2989849,2990604,0
2989849,2990614,1
2989848,3247376,0
2989840,1158041,1
2989840,2989880,1
2989840,2989812,1
2989840,2990650,0
2989840,2990544,1
1272471,872989,0
1272471,873172,0
1272471,873102,0
1272471,873084,0
1272472,3355838,0
1272474,872835,0
1272474,872850,0
1272474,872745,0
1272474,872937,0
1272474,1271458,0
1272477,942438,0
1272479,872898,0
3610645,834861,0
3610645,835653,0
3610645,1226943,0
3610645,2918925,0
3610645,3161457,0
3610645,3395292,1
3610644,2919102,0
1271929,872933,0
1271929,873279,0
1271929,873128,0
1271929,1272431,0
1271929,1272500,0
1271929,2998461,0
1271929,2998505,0
1271927,873033,0
1271926,873178,0
1271926,873207,0
1271926,1042703,0
1271924,872810,0
1271924,873093,0
1271924,873142,0
1271924,1272766,1
1271922,744904,0
1271922,802677,0
1271922,872925,0
1271922,873238,1
1271922,877170,0
1271922,1026185,0
1271922,1027692,0
1271921,872993,0
1271920,872959,1
1271920,873298,0
1271920,873278,1
3135847,801601,0
2851773,802981,0
3070618,917981,1
3070618,918044,0
3070618,918066,0
3070618,918141,0
3070618,1025898,0
3070618,1026921,1
3070618,1027504,0
3070618,1280009,0
1272298,872740,0
2923107,1042459,0
2923107,1042669,0
3070619,2867365,1
2923100,918283,1
2923100,1027510,0
2923102,918096,0
2923102,2861579,0
3612619,943022,0
3612619,1271604,0
3612619,1276676,1
3612619,2920589,0
3612619,2920717,0
3612619,2968114,0
3612619,3071330,0
3612619,3249381,0
2923108,918364,0
871604,871474,0
871605,871443,1
871605,871481,0
871605,1027392,0
871606,871574,1
871607,871418,0
871607,871481,0
871607,871466,0
871600,871541,0
871600,871443,0
871600,871361,0
871608,871301,1
871609,871439,1
3246904,744525,0
3246904,746052,0
3246904,1050514,0
746289,746176,0
746288,746179,0
3246902,2868023,0
746281,744669,0
746281,745213,0
746281,745579,0
746287,746179,0
746286,744624,0
746286,745180,0
876950,805457,0
876950,931830,1
876950,933663,0
876958,877449,0
3349829,847952,1
3349829,847964,0
3349829,933948,1
1042822,942525,0
1042822,1042719,0
1042821,930674,0
1042821,1039988,1
1042821,1039990,1
1042821,1042434,0
1042826,1026827,0
1042826,1026890,0
1042826,1039889,0
1042826,1040221,0
1042826,1040578,0
1042826,1040888,0
1042826,1042209,0
1042824,872907,1
1042825,835454,0
1042825,835567,0
1042825,835572,0
1042825,835574,0
1042825,1042565,0
1042828,834919,0
1042829,835313,0
1042829,1040412,0
1042829,3249903,0
3309859,873224,0
3309859,1272218,0
3309859,2920401,0
934875,930018,0
934874,929746,1
934871,849145,0
934871,931027,0
1229641,1151407,1
1229641,1151592,0
1229645,1150673,0
1229645,1151010,0
3070611,1151415,0
3070614,917617,0
3070614,943044,0
3063018,793679,0
3063010,803366,0
2988949,2990883,1
3063012,803246,0
3063012,876636,0
3063013,793277,0
3063013,803111,0
3063015,1267957,1
3063016,793249,0
3063017,2851581,0
848415,851147,0
933529,929733,0
873294,2998212,0
873296,745263,0
873296,1040434,0
3392676,918097,0
3392676,918334,0
3392676,1027508,0
3392676,2866945,0
931962,851429,0
931962,851628,0
931962,851881,0
801354,800672,0
801356,800539,0
801359,801154,0
801358,794005,0
2859363,873209,0
2859363,917885,0
2859363,1272704,1
3392523,1273915,0
3392523,2878880,0
3392523,3355992,0
3386946,3102995,0
3386946,3103117,0
3395315,744688,0
3395315,745133,0
3395315,745263,0
3395315,745459,0
3395315,918345,0
3395315,1042901,0
3395315,1042957,0
3395315,1227067,0
3395315,1274030,0
3395315,2867593,0
3395315,2923144,0
3395315,2923157,0
3395315,2968175,0
3395315,3077963,0
3395314,744494,0
3395313,746236,0
3395313,835558,0
3395313,835770,0
3395313,943023,0
3395313,1025881,0
3395313,1026062,0
3395313,1026064,0
3395313,1276508,0
3395313,3367533,1
3395312,1038700,0
3395311,1042954,0
3395311,3360739,1
800006,800005,1
3267286,744415,0
3267286,746392,0
2916662,802770,0
2916662,803020,0
2916668,2851596,1
1267951,794421,1
1267951,794805,0
1267951,1037419,1
1267950,793718,0
1267950,1037011,0
1267953,795376,0
1267953,796187,1
1267959,796555,0
1267959,803152,1
1267958,793249,0
1267958,1151301,1
2867330,1037391,1
760238,1163894,1
760236,1040704,1
760237,872740,0
760237,873409,0
760235,1026878,0
760230,1027480,0
760231,745875,1
760231,760013,1
3392673,3392542,1
760159,744297,0
760159,744902,0
760159,745875,0
760159,745900,0
760158,744297,0
760158,744711,0
760158,745875,0
760158,745900,0
760158,759550,0
760158,759591,0
760158,760013,0
2847305,744827,1
2847305,744829,1
2847305,745575,0
2847305,745317,0
3265446,3103629,0
1227252,745180,0
1227252,746052,0
3654760,1163385,1
3654760,1163987,1
3654760,1164003,1
3654760,1163899,1
3654760,2875517,1
3654760,3084800,1
2878899,2879936,0
2878899,3354611,0
2878898,1027469,1
2878898,2879030,1
2878898,3354581,1
2878898,3355701,0
3654764,3354114,0
942894,942456,0
942894,942558,0
942894,942633,0
942894,942747,0
942896,940267,1
942896,942578,0
942896,942581,0
942896,942555,0
942897,942117,0
942897,942080,0
942897,1027239,0
942897,3355870,0
942890,940146,0
942890,942552,0
942890,942535,1
942891,744911,0
942891,941025,0
942891,942126,0
942891,942341,0
942891,942112,0
942891,942631,1
942892,942609,0
942892,942770,0
942898,940270,0
942898,941144,0
942898,942214,0
942899,942236,0
802098,800081,0
802098,800618,0
800839,2879839,0
745666,744413,0
745666,744823,0
745666,744905,0
745666,744816,0
745666,745293,0
745666,745272,0
745666,745354,0
745666,745461,1
745666,745609,0
745666,745682,1
877542,876761,1
877542,877087,1
877542,876915,1
877542,877081,0
877542,877537,1
877542,877553,1
877542,877536,0
877542,877703,0
877542,877615,0
877542,877693,0
877542,877684,0
877542,877674,1
877542,877573,0
877542,877702,1
877542,877679,1
877542,877698,1
3450386,2868027,0
3450386,3129957,0
1158943,1026762,0
1158943,1027576,0
1158942,1180990,0
1158942,3354113,0
1158942,3356026,0
1158942,3355636,0
1158944,1035588,0
2990218,2990688,0
2990216,942679,0
2990210,1158210,1
2990210,1158385,1
3450385,1341280,0
3450385,3087465,1
2859083,873207,0
2859083,939788,0
2859083,1041263,0
2859081,872714,1
2859087,917526,0
2859089,746236,0
3450383,1050582,0
3450383,2919065,0
3450380,3078268,1
802194,801169,0
3356128,2924372,0
918057,1026426,0
918057,1026423,0
918057,1026425,0
918057,1026511,0
918057,1026424,0
918057,1026950,0
918057,1026948,0
918057,1026952,0
918055,917929,1
918054,746064,0
918054,835002,0
918054,835440,0
918054,1025872,1
918054,1026711,0
918054,1027637,0
918054,1027683,0
918050,1025972,0
918050,1026049,0
918050,1026754,0
918050,1027576,0
1271686,872954,0
1271686,873292,0
1271686,918315,0
1271687,794263,0
1271687,794836,0
1271684,873128,0
1271684,873188,0
1271684,1026891,0
1271684,1027287,0
1271684,1042344,0
1271683,872945,0
1271683,1150953,0
1271683,1151008,0
1271680,1272034,0
1271689,1026510,0
1150461,1150612,1
835655,835332,0
835654,834730,0
835654,834872,1
835654,834963,0
835654,835233,0
835653,834963,0
835653,835522,0
835652,834730,0
835652,834901,0
835652,834963,0
835652,835233,0
835650,834825,0
835650,834863,0
835659,834956,1
1150469,1035435,0
1150469,1149930,0
3391886,917653,0
3450388,1050623,0
3450388,1341280,0
1027917,834951,0
1027917,835151,0
1027917,835490,0
1027917,873127,0
1027917,918046,1
1027917,1026300,0
1027917,1027837,0
1027915,1026150,0
1027915,1027120,0
2923962,940774,1
2923962,942387,1
2923962,942600,0
2923962,942920,1
2923962,942974,0
2923962,943125,0
2923962,1276466,1
2923960,942726,0
2923960,942780,0
2923960,943005,0
2923960,943048,0
2923960,943173,0
2923960,943159,0
2923960,1150299,0
2923960,1276486,0
2923960,1276387,0
2923960,1276618,0
2923960,1276641,0
2923960,2862450,0
2923960,2862274,0
2923960,2862258,0
2923960,3310122,0
2923961,934171,1
2923961,942547,0
2923961,942812,1
2923961,942381,0
2923961,942820,0
2923961,943181,0
2923961,1276463,0
2923961,1276498,0
2923964,941057,0
2923964,942759,0
2923964,942636,0
2923964,943004,0
2923964,1272125,0
2923964,2862289,0
1027911,1025966,0
1027911,1026510,0
1027910,1026396,0
1027910,1026578,1
3360017,2859293,0
3367413,877697,0
3367413,934156,0
3367413,934812,0
3367413,942386,0
3367413,1272851,0
3367413,2859681,0
3367413,2862480,0
3367413,2862320,0
3367413,2923963,0
2998009,2997701,0
2998009,2997754,0
2998009,2998285,0
2998003,2998077,0
2998003,2998021,0
2998003,2998112,0
2998001,2998242,0
2998001,2998180,0
2998001,2997732,0
2998007,2997680,0
2998007,2998086,0
2998006,2997752,0
2998006,2998252,0
2998006,2998286,0
2998006,2998243,0
2998006,2998246,0
2998005,2997701,0
2998005,2998507,0
2998005,2998229,0
2998005,2998172,0
2998005,2998186,0
2998005,2997705,0
2998005,2997714,0
2998004,2997728,0
2998004,2998108,0
942663,941981,0
942663,942236,0
942663,942526,0
942662,939679,0
942662,941241,0
942662,941307,0
942661,2997783,0
942661,2997750,0
942660,939993,0
942667,930447,0
942667,931031,0
942667,931564,0
942667,933207,0
942667,933464,0
942667,934601,0
942667,940002,0
942667,940001,0
942666,793558,0
942666,939677,1
942666,941206,0
942665,835035,0
942665,940065,0
942665,940357,1
942665,941627,0
942665,942648,1
942664,940245,0
942664,941074,0
942664,941454,0
942664,942161,0
2920433,872186,0
2920433,872258,0
2920433,872970,0
2920433,873107,0
2920433,872804,0
2920433,1026558,0
2920433,1271435,0
2920433,1272214,0
2920433,1272834,0
942668,940071,0
942668,940779,0
942668,940854,0
942668,1026063,0
2920434,2998227,0
2920434,2997702,0
2920437,873121,1
3367406,943041,0
3367406,2862468,0
3367406,3071319,0
3451173,1181062,0
3451173,1181621,0
3451173,1182098,0
3451173,3355253,0
3451173,3355829,0
943130,940326,0
943130,942622,1
943130,942772,0
943130,942924,1
943130,3316546,0
943134,942683,0
943135,796068,0
943135,876645,0
943135,917763,0
943135,939860,0
943135,940852,0
943135,941174,0
943135,941758,0
943135,942440,0
943135,942490,0
943135,942921,0
943135,942749,0
943139,940243,0
943139,942236,0
943139,942771,0
3131425,942776,0
1276118,930316,0
3451179,2878730,0
3451179,1180870,0
786472,835456,1
786474,786359,1
3367405,801036,0
3367405,852820,0
3367405,942707,0
3367405,1276133,0
3367405,1341256,0
3367405,2862424,0
3367405,2862488,0
930385,934559,1
1042787,745263,0
1042786,835393,1
1042785,1039988,0
1042785,1042357,1
1042785,1042456,1
1042783,746236,0
